% time	cellId	IMSI	RNTI	rsrp	sinr
0.147214	1	1	1	5.4396e-10	1.14677e+06
0.147214	1	2	2	1.07682e-09	2.27013e+06
0.148214	1	1	1	5.4396e-10	1.14677e+06
0.148214	1	2	2	1.07682e-09	2.27013e+06
0.149214	1	1	1	5.4396e-10	1.14677e+06
0.149214	1	2	2	1.07682e-09	2.27013e+06
0.150214	1	1	1	5.4396e-10	1.14677e+06
0.150214	1	2	2	1.07682e-09	2.27013e+06
0.151214	1	1	1	5.4396e-10	1.14677e+06
0.151214	1	2	2	1.07682e-09	2.27013e+06
0.152214	1	1	1	5.4396e-10	1.14677e+06
0.152214	1	2	2	1.07682e-09	2.27013e+06
0.153214	1	1	1	5.4396e-10	1.14677e+06
0.153214	1	2	2	1.07682e-09	2.27013e+06
0.154214	1	1	1	5.4396e-10	1.14677e+06
0.154214	1	2	2	1.07682e-09	2.27013e+06
0.155214	1	1	1	5.4396e-10	1.14677e+06
0.155214	1	2	2	1.07682e-09	2.27013e+06
0.156214	1	1	1	5.4396e-10	1.14677e+06
0.156214	1	2	2	1.07682e-09	2.27013e+06
0.157214	1	1	1	5.4396e-10	1.14677e+06
0.157214	1	2	2	1.07682e-09	2.27013e+06
0.158214	1	1	1	5.4396e-10	1.14677e+06
0.158214	1	2	2	1.07682e-09	2.27013e+06
0.159214	1	1	1	5.4396e-10	1.14677e+06
0.159214	1	2	2	1.07682e-09	2.27013e+06
0.160214	1	1	1	5.4396e-10	1.14677e+06
0.160214	1	2	2	1.07682e-09	2.27013e+06
0.161214	1	1	1	5.4396e-10	1.14677e+06
0.161214	1	2	2	1.07682e-09	2.27013e+06
0.162214	1	1	1	5.4396e-10	1.14677e+06
0.162214	1	2	2	1.07682e-09	2.27013e+06
0.163214	1	1	1	5.4396e-10	1.14677e+06
0.163214	1	2	2	1.07682e-09	2.27013e+06
0.164214	1	1	1	5.4396e-10	1.14677e+06
0.164214	1	2	2	1.07682e-09	2.27013e+06
0.165214	1	1	1	5.4396e-10	1.14677e+06
0.165214	1	2	2	1.07682e-09	2.27013e+06
0.166214	1	1	1	5.4396e-10	1.14677e+06
0.166214	1	2	2	1.07682e-09	2.27013e+06
0.167214	1	1	1	5.4396e-10	1.14677e+06
0.167214	1	2	2	1.07682e-09	2.27013e+06
0.168214	1	1	1	5.4396e-10	1.14677e+06
0.168214	1	2	2	1.07682e-09	2.27013e+06
0.169214	1	1	1	5.4396e-10	1.14677e+06
0.169214	1	2	2	1.07682e-09	2.27013e+06
0.170214	1	1	1	5.4396e-10	1.14677e+06
0.170214	1	2	2	1.07682e-09	2.27013e+06
0.171214	1	1	1	5.4396e-10	1.14677e+06
0.171214	1	2	2	1.07682e-09	2.27013e+06
0.172214	1	1	1	5.4396e-10	1.14677e+06
0.172214	1	2	2	1.07682e-09	2.27013e+06
0.173214	1	1	1	5.4396e-10	1.14677e+06
0.173214	1	2	2	1.07682e-09	2.27013e+06
0.174214	1	1	1	5.4396e-10	1.14677e+06
0.174214	1	2	2	1.07682e-09	2.27013e+06
0.175214	1	1	1	5.4396e-10	1.14677e+06
0.175214	1	2	2	1.07682e-09	2.27013e+06
0.176214	1	1	1	5.4396e-10	1.14677e+06
0.176214	1	2	2	1.07682e-09	2.27013e+06
0.177214	1	1	1	5.4396e-10	1.14677e+06
0.177214	1	2	2	1.07682e-09	2.27013e+06
0.178214	1	1	1	5.4396e-10	1.14677e+06
0.178214	1	2	2	1.07682e-09	2.27013e+06
0.179214	1	1	1	5.4396e-10	1.14677e+06
0.179214	1	2	2	1.07682e-09	2.27013e+06
0.180214	1	1	1	5.4396e-10	1.14677e+06
0.180214	1	2	2	1.07682e-09	2.27013e+06
0.181214	1	1	1	5.4396e-10	1.14677e+06
0.181214	1	2	2	1.07682e-09	2.27013e+06
0.182214	1	1	1	5.4396e-10	1.14677e+06
0.182214	1	2	2	1.07682e-09	2.27013e+06
0.183214	1	1	1	5.4396e-10	1.14677e+06
0.183214	1	2	2	1.07682e-09	2.27013e+06
0.184214	1	1	1	5.4396e-10	1.14677e+06
0.184214	1	2	2	1.07682e-09	2.27013e+06
0.185214	1	1	1	5.4396e-10	1.14677e+06
0.185214	1	2	2	1.07682e-09	2.27013e+06
0.186214	1	1	1	5.4396e-10	1.14677e+06
0.186214	1	2	2	1.07682e-09	2.27013e+06
0.187214	1	1	1	5.4396e-10	1.14677e+06
0.187214	1	2	2	1.07682e-09	2.27013e+06
0.188214	1	1	1	5.4396e-10	1.14677e+06
0.188214	1	2	2	1.07682e-09	2.27013e+06
0.189214	1	1	1	5.4396e-10	1.14677e+06
0.189214	1	2	2	1.07682e-09	2.27013e+06
0.190214	1	1	1	5.4396e-10	1.14677e+06
0.190214	1	2	2	1.07682e-09	2.27013e+06
0.191214	1	1	1	5.4396e-10	1.14677e+06
0.191214	1	2	2	1.07682e-09	2.27013e+06
0.192214	1	1	1	5.4396e-10	1.14677e+06
0.192214	1	2	2	1.07682e-09	2.27013e+06
0.193214	1	1	1	5.4396e-10	1.14677e+06
0.193214	1	2	2	1.07682e-09	2.27013e+06
0.194214	1	1	1	5.4396e-10	1.14677e+06
0.194214	1	2	2	1.07682e-09	2.27013e+06
0.195214	1	1	1	5.4396e-10	1.14677e+06
0.195214	1	2	2	1.07682e-09	2.27013e+06
0.196214	1	1	1	5.4396e-10	1.14677e+06
0.196214	1	2	2	1.07682e-09	2.27013e+06
0.197214	1	1	1	5.4396e-10	1.14677e+06
0.197214	1	2	2	1.07682e-09	2.27013e+06
